20220822	08:36:09	b6cc13c9-f35e-4da8-b13c-edd67e1bcc18	POST	undefined	/employees
20220822	08:36:17	19e7826e-6da8-4c8f-a6c3-cd2546b1d37c	DELETE	undefined	/employees
20220822	08:36:29	a15ad5e5-0c30-4dce-a10e-da5ecb6a1ad1	POST	undefined	/auth
20220822	08:37:35	3e97acb0-88e8-4ae4-8723-b176d6fc58f0	POST	undefined	/auth
20220822	08:37:58	bf2bbaed-3052-449d-993e-69a516592578	DELETE	undefined	/employees
20220822	08:38:12	2c8d5d1a-8a92-4ef4-95de-cb08c2ba3a9b	POST	undefined	/auth
20220822	08:38:23	0e41d0b3-177d-431e-bcbf-935a0c880655	DELETE	undefined	/employees
20220822	09:24:10	fe8f50ad-46e8-45bd-99a9-a16c59a78d28	POST	undefined	/register
20220822	09:25:02	9164136d-76a0-4ffa-86e0-b2246b4e6ad1	POST	undefined	/register
20220822	09:53:12	d7c103bc-d1e5-489c-a496-66737f2b7a67	POST	undefined	/register
20220822	09:53:22	f7a7cbd0-7fbb-4428-add9-545074c279a3	POST	undefined	/register
20220822	09:53:46	2be0432c-c76a-4bb7-9c88-3e934be1886d	POST	undefined	/auth
20220822	09:53:59	39b28769-12b4-4fb6-bc20-d6c7fa1afabb	POST	undefined	/auth
20220822	09:54:12	53c0f084-8697-4041-a43c-719f2bc021a0	POST	undefined	/auth
20220822	09:54:37	42c65bc9-4f31-4e44-9dab-b360a5413799	POST	undefined	/auth
20220822	09:55:48	bd1aa07c-2805-433d-af7f-4c6bc6d5e503	POST	undefined	/register
20220822	09:56:41	d3af8ede-89a2-44ac-960b-8b4fec24ec87	POST	undefined	/auth
20220822	09:57:10	e6c64b0e-22ef-40eb-a5d5-8be5d119d1f4	GET	undefined	/logout
20220822	10:10:29	a1469237-1429-48ce-9620-7caf7ca6c30e	GET	undefined	/auth
20220822	10:10:52	65bf3c72-e5e2-4f21-9315-0189053560c5	GET	undefined	/auth
